title,department,location,posting_date,remote,region,url
"Sr. Support Engineer 2 - Splunk, AppDynamics, Zabbix, Azure, Monitoring Tools (5-8 years)",Not specified,IND - Coimbatore (708),Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Sr-Support-Engineer-2---AppDynamics--Zabbix--Splunk--SQL--Azure--Monitoring-Tools--Observability_253525
Lead Software Engineer,Not specified,Hyderabad,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Lead-Software-Engineer_254301
Solution Architect – Production Planning and Scheduling (Automotive & Discrete Manufacturing),Not specified,Dallas,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Solution-Architect---Production-Planning-and-Scheduling--Automotive---Discrete-Manufacturing-_253895
"Technical Consultant Int - Cloud (Backup Admin, Commvault, Disaster Recovery, Azure)",Not specified,IND - Coimbatore (708),Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Technical-Consultant-Int---Cloud--BigFix--Windows-Server-Administration--Azure-_253602
Associate Director - Digital Transformation,Not specified,Bangalore,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Associate-Director---Digital-Transformation_260047
"Sr Azure Network Engineer - Azure VMs, Load balancer, Application Gateway, Storage",Not specified,Bangalore,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/DevOps-Azure-Engineer--Terraform--Python--VM--storage--IAC_253641
"Project Manager (Engineering Manager,Java,Springboot,Mircroservices,Kafka)",Not specified,Bangalore,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Engineering-Manager-Python-Kafka-Microservices-_253828
"Sr Software Engineer - ReactJS, NextJS & Microservices",Not specified,Hyderabad,Posted Today,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Sr-Software-Engineer---ReactJS---Microservices_254508
"IN-Technical Architect - Cloud (Problem Manager, ServiceNow, Azure, Service Management, Incident Handling, SLA)",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/IN-Technical-Architect---Cloud--Problem-Manager--ServiceNow--Azure--Service-Management--Incident-Handling--SLA-_253595
Senior Technical Architect ( TMS ),Not specified,2 Locations,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Senior-Technical-Architect---TMS--_260010
Senior Technical Architect ( WMS ),Not specified,2 Locations,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Senior-Technical-Architect---WMS--_260012
"Senior Director, Sales Operations Business Partner",Not specified,Dallas,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Senior-Director-Business-Partner_254395
"Sr Support Engineer 1 - SQL DBA, SQL Server 2012/2014/2016/2017/2019/2022, Azure SQL, T-SQL",Not specified,Bangalore,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/IN-Sr-Support-Engineer-1_254661
"Sr Support Engineer 2 - SQL DBA, SQL Server 2012/2014/2016/2017/2019/2022, Azure SQL, T-SQL",Not specified,IND - Coimbatore (708),Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/IN-Sr-Support-Engineer-2---SQL-DBA--SQL-Server-2012-2014-2016-2017-2019-2022--Azure-SQL--T-SQL_254664
"Sr. Data Scientist-Algorithms, LlamaIndex, Python",Not specified,Hyderabad,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Sr-Data-Scientist-Algorithms--LlamaIndex--Python_254439
Manager (HRBP),Not specified,Bangalore,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Manager--HRBP-_254374
"Software Engineer - (DevOps,Azure,Python Scripting,Github Actions)",Not specified,Hyderabad,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Software-Engineer----DevOps-Azure-Python-Scripting-Github-Actions-_254462
"Senior Software Engineer (Java, Microservices, Cloud)",Not specified,Hyderabad,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Senior-Software-Engineer--Java--Microservices--Cloud-_254403
Account Manager,Not specified,Tokyo,Posted Yesterday,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Tokyo/Account-Manager_244722
Global Business Practices Director,Not specified,4 Locations,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/London/Global-Business-Practices-Director_251234
"Staff Software Engineer (Java, Microservices & Cloud)",Not specified,Bangalore,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Staff-Software-Engineer--Java--Microservices---Cloud--_253462
"Staff Software Engineer II (Java, Microservices & Cloud)",Not specified,Hyderabad,Posted 2 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Staff-Software-Engineer-II--Java--Microservices---Cloud-_253243
Sr Technical Consultant - Major Incident Management/ITIL/Problem Management/Change Management/SLA Management,Not specified,IND - Coimbatore (708),Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Sr-Technical-Consultant---Major-Incident-Management-ITIL-Problem-Management-Change-Management-SLA-Management_253585
Sr Support Engineer 1 - Windows Server Admin/ITIL/Azure/VMware,Not specified,IND - Coimbatore (708),Posted 3 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/Sr-Support-Engineer-1---Windows-Server-Admin-ITIL-Azure-VMware_254668
"Sr Gen AI Engineer - Python, AI & ML",Not specified,2 Locations,Posted 5 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Gen-AI-Engineer---Python--AI---ML_253883
Business Consultant (Supply Chain Planning) - Sales Support,Not specified,2 Locations,Posted 5 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Business-Consultant--Supply-Chain-Planning----Sales-Support_253541
"Technical Consultant - Java, SQL",Not specified,2 Locations,Posted 5 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Pune---BY/Technical-Consultant---Java--SQL_260107
"Lead Software Engineer(Java,Springboot,Rest API)",Not specified,Hyderabad,Posted 5 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Lead-Software-Engineer_253749
Global Associate Success (HR) Business Partner,Not specified,Dallas,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Global-Associate-Success--HR--Business-Partner_253862
"Project Manager - Cloud -  Project Management Professional, Customer Success Manager & PRINCE2",Not specified,2 Locations,Posted 5 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Project-Manager---Cloud---ServiceNow_254283
Director of Internal Audit - Data Analytics and Automation,Not specified,Dallas,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Director-of-Internal-Audit---Data-Analytics-and-Automation_260140
Sr Support Engineer 2 - Fulfilment/Demand/Order Optimization/Enterprise Supply Planning(ESP) & PLSQL,Not specified,Bangalore,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Support-Engineer-2---JDA-BY-Enterprise-Supply-Planning-ESP----PLSQL_254369
Sr. Coordinator - Learning & Development,Not specified,Bangalore,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Coordinator---Learning---Development_254407
"Technical Consultant - ( F5 LTM, Cloudflare WAF, ASA/PALO ALTO/AZURE firewalls, Routing & Switching, Irules, VPN tunnel configuration)",Not specified,IND - Coimbatore (708),Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/IND---Coimbatore-708/IN-Technical-Consultant-Int---Cloud_253699
"Sr Staff Software Engineer - Java, Microservices & Springboot",Not specified,Bangalore,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Sr-Staff-Software-Engineer---Java-Full-stack--Microservices--ReactJS---Springboot_253289
"Sr Technical Architect - ServiceNow Architect, CSM, CSDM & ITOM",Not specified,Bangalore,Posted 6 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bangalore/Functional-Consultant_243166
Senior FullStack Software Engineer ( React and NodeJS),Not specified,16 Locations,Posted 7 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Dallas/Staff-Software-Engineer_254469
"Support Engineer1 - PLSQL, DBMS & AppD",Not specified,Hyderabad,Posted 7 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Hyderabad/Support-Engineer1--Night-Shift----PLSQL--DBMS---AppD_254221
Solution Architect,Not specified,3 Locations,Posted 7 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Bracknell/Solution-Architect_254444
Sr Technical Consultant,Not specified,Monterrey,Posted 8 Days Ago,No,Not specified,https://careers.blueyonder.com/us/en/search-results/job/Monterrey/Sr-Technical-Consultant_253644
