title,department,openings,locations,all_locations,regions,remote_available
Expert Support Engineer,Not specified,3,Monterrey,Monterrey,Not specified,No
Account Manager,Not specified,1,Tokyo,Tokyo,Not specified,No
Associate Director - Digital Transformation,Not specified,1,Bangalore,Bangalore,Not specified,No
Business Consultant (Supply Chain Planning) - Sales Support,Not specified,1,2 Locations,2 Locations,Not specified,No
"Devops Engineer (CI/CD, Github actions, Docker, Kubernetes)",Not specified,1,Bangalore,Bangalore,Not specified,No
Global Business Practices Director,Not specified,1,4 Locations,4 Locations,Not specified,No
"IN-Sr Technical Consultant (BY CatMan/Category Management, C#, .NET, SQL Server)",Not specified,1,Bangalore,Bangalore,Not specified,No
"IN-Technical Architect - Cloud (Problem Manager, ServiceNow, Azure, Service Management, Incident Handling, SLA)",Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
Lead Software Engineer,Not specified,1,Hyderabad,Hyderabad,Not specified,No
Manager (HRBP),Not specified,1,Bangalore,Bangalore,Not specified,No
Program Director – Supply Chain Advisory Strategic Programs,Not specified,1,2 Locations,2 Locations,Not specified,No
"Project Manager (Engineering Manager,Java,Springboot,Mircroservices,Kafka)",Not specified,1,Bangalore,Bangalore,Not specified,No
Sales Velocity Representative (entry - GTM services sales),Not specified,1,2 Locations,2 Locations,Not specified,No
"Senior Director, Sales Operations Business Partner",Not specified,1,Dallas,Dallas,Not specified,No
"Senior Software Engineer (Java, Microservices, Cloud)",Not specified,1,Hyderabad,Hyderabad,Not specified,No
Senior Technical Architect ( TMS ),Not specified,1,2 Locations,2 Locations,Not specified,No
Senior Technical Architect ( WMS ),Not specified,1,2 Locations,2 Locations,Not specified,No
Services Inside Sales Representative,Not specified,1,Bangalore,Bangalore,Not specified,No
"Software Engineer - (DevOps,Azure,Python Scripting,Github Actions)",Not specified,1,Hyderabad,Hyderabad,Not specified,No
Solution Architect – Production Planning and Scheduling (Automotive & Discrete Manufacturing),Not specified,1,Dallas,Dallas,Not specified,No
"Sr Azure Network Engineer - Azure VMs, Load balancer, Application Gateway, Storage",Not specified,1,Bangalore,Bangalore,Not specified,No
"Sr Gen AI Engineer - Python, AI & ML",Not specified,1,2 Locations,2 Locations,Not specified,No
"Sr Software Engineer - ReactJS, NextJS & Microservices",Not specified,1,Hyderabad,Hyderabad,Not specified,No
"Sr Support Engineer 1 - SQL DBA, SQL Server 2012/2014/2016/2017/2019/2022, Azure SQL, T-SQL",Not specified,1,Bangalore,Bangalore,Not specified,No
Sr Support Engineer 1 - Windows Server Admin/ITIL/Azure/VMware,Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
"Sr Support Engineer 2 - SQL DBA, SQL Server 2012/2014/2016/2017/2019/2022, Azure SQL, T-SQL",Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
"Sr Technical Consultant (Core Java,Rest Api,Oracle Sql,Javascript,Unix)",Not specified,1,Pune - BY,Pune - BY,Not specified,No
Sr Technical Consultant - Major Incident Management/ITIL/Problem Management/Change Management/SLA Management,Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
"Sr. Data Scientist-Algorithms, LlamaIndex, Python",Not specified,1,Hyderabad,Hyderabad,Not specified,No
"Sr. Support Engineer 2 - Splunk, AppDynamics, Zabbix, Azure, Monitoring Tools (5-8 years)",Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
"Staff Software Engineer (Java, Microservices & Cloud)",Not specified,1,Bangalore,Bangalore,Not specified,No
"Staff Software Engineer II (Java, Microservices & Cloud)",Not specified,1,Hyderabad,Hyderabad,Not specified,No
Staff Software Engineer II - React & Typescript,Not specified,1,Bangalore,Bangalore,Not specified,No
"Strategic Services Director, Retail & Grocery",Not specified,1,2 Locations,2 Locations,Not specified,No
"Technical Consultant - Java, SQL",Not specified,1,2 Locations,2 Locations,Not specified,No
"Technical Consultant Int - Cloud (Backup Admin, Commvault, Disaster Recovery, Azure)",Not specified,1,IND - Coimbatore (708),IND - Coimbatore (708),Not specified,No
"VP, Executive Advisor, Grocery",Not specified,1,2 Locations,2 Locations,Not specified,No
"VP, Executive Advisor, Hardlines/Softlines",Not specified,1,2 Locations,2 Locations,Not specified,No
