title,department,location,posting_date,remote,region,url
Enterprise Sales Director,Not specified,TW-Remote,Posted Date 3 days ago,Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34261/enterprise-sales-director/job?in_iframe=1
Business Consultant - USA,Not specified,US-Remote,(1/29/2026 9:35 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34245/business-consultant---usa/job?in_iframe=1
IT Support Technician (12 Month Fixed Term),Not specified,NL-Remote,(1/28/2026 8:01 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34243/it-support-technician-%2812-month-fixed-term%29/job?in_iframe=1
"VP, Sales",Not specified,FR-Remote,(1/28/2026 9:27 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34240/vp%2c-sales/job?in_iframe=1
"Staff Algorithms Developer, C++",Not specified,CA-ON-Ottawa,(1/27/2026 9:01 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34238/staff-algorithms-developer%2c-c%2b%2b/job?in_iframe=1
"Software Developer, C++",Not specified,CA-ON-Ottawa,(1/27/2026 7:57 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34237/software-developer%2c-c%2b%2b/job?in_iframe=1
Senior Site Reliability Engineer - Infra,Not specified,TW-Remote,(1/27/2026 9:37 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34228/senior-site-reliability-engineer---infra/job?in_iframe=1
Business Consultant,Not specified,IN-Remote,(1/29/2026 7:11 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34227/business-consultant/job?in_iframe=1
Facilities Coordinator,Not specified,CA-ON-Ottawa,(1/21/2026 9:59 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34215/facilities-coordinator/job?in_iframe=1
Director of Procurement,Not specified,CA-Remote,(1/22/2026 1:54 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34208/director-of-procurement/job?in_iframe=1
Business Development Representative,Not specified,UK-Remote,(1/20/2026 10:05 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34206/business-development-representative/job?in_iframe=1
Software Test Developer 1 - Java Automation,Not specified,IN-KA-Bangalore,(1/20/2026 6:30 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34200/software-test-developer-1---java-automation/job?in_iframe=1
"Senior Software Developer, Supply Chain Execution, 12-Month Term",Not specified,NL-Rotterdam,(1/14/2026 8:57 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34185/senior-software-developer%2c-supply-chain-execution%2c-12-month-term/job?in_iframe=1
Solution Consultant,Not specified,IN-KA-Bangalore,(1/29/2026 9:57 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34183/solution-consultant/job?in_iframe=1
"Director, Product Management, Platform",Not specified,CA-Remote,(1/13/2026 1:10 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34166/director%2c-product-management%2c-platform/job?in_iframe=1
"Product Manager, Platform",Not specified,CA-Remote,(1/13/2026 12:16 AM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34163/product-manager%2c-platform/job?in_iframe=1
Technology Consultant,Not specified,JP-Tokyo,(1/19/2026 12:07 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34157/technology-consultant/job?in_iframe=1
"Co-op/Intern Developer, Clients, Front End Technologies",Not specified,CA-ON-Ottawa,Posted Date 3 days ago,No,Not specified,https://careers-kinaxis.icims.com/jobs/34152/co-op-intern-developer%2c-clients%2c-front-end-technologies/job?in_iframe=1
Account Executive -South East Region,Not specified,US-Remote,(1/14/2026 8:41 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/34150/account-executive--south-east-region/job?in_iframe=1
Associate Solution Consultant - IND,Not specified,"IN-TN-Perungudi, Chennai",(1/22/2026 1:18 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34147/associate-solution-consultant---ind/job?in_iframe=1
"Software Developer 2, Python Backend Developer",Not specified,IN-KA-Bangalore,(1/12/2026 5:26 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34145/software-developer-2%2c-python-backend-developer/job?in_iframe=1
Co-op/Intern Site Reliability Engineer,Not specified,CA-ON-Ottawa,(1/7/2026 4:43 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34137/co-op-intern-site-reliability-engineer/job?in_iframe=1
Senior Information Security Analyst,Not specified,JP-Tokyo,(1/6/2026 2:28 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34136/senior-information-security-analyst/job?in_iframe=1
Technology Consultant - IND,Not specified,"IN-TN-Perungudi, Chennai",(1/2/2026 7:03 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34126/technology-consultant---ind/job?in_iframe=1
Senior Technology Consultant - IND,Not specified,"IN-TN-Perungudi, Chennai",(1/2/2026 6:42 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34125/senior-technology-consultant---ind/job?in_iframe=1
"Solution Consultant, Intermediate - IND",Not specified,"IN-TN-Perungudi, Chennai",(1/29/2026 10:55 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34124/solution-consultant%2c-intermediate---ind/job?in_iframe=1
"Solution Consultant, Entry - IND",Not specified,"IN-TN-Perungudi, Chennai",(1/29/2026 10:56 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34123/solution-consultant%2c-entry---ind/job?in_iframe=1
Senior Solution Consultant - IND,Not specified,"IN-TN-Perungudi, Chennai",(1/1/2026 2:46 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34122/senior-solution-consultant---ind/job?in_iframe=1
Solution Architect - IND,Not specified,IN-KA-Bangalore,(1/1/2026 5:53 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34121/solution-architect---ind/job?in_iframe=1
"Staff Software Developer, Front End Technology",Not specified,CA-ON-Ottawa,(12/17/2025 6:44 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34063/staff-software-developer%2c-front-end-technology/job?in_iframe=1
Database Specialist,Not specified,CA-ON-Ottawa,(1/6/2026 7:58 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/34029/database-specialist/job?in_iframe=1
Client Partner,Not specified,US-Remote,(11/26/2025 8:50 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/33993/client-partner/job?in_iframe=1
Instructor,Not specified,IE-Remote,(11/27/2025 7:44 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/33992/instructor/job?in_iframe=1
Senior Delivery Manager,Not specified,JP-Tokyo,(11/20/2025 7:09 AM),No,Not specified,https://careers-kinaxis.icims.com/jobs/33977/senior-delivery-manager/job?in_iframe=1
"Program Manager, Product Operations",Not specified,CA-ON-Toronto,(11/18/2025 7:30 PM),No,Not specified,https://careers-kinaxis.icims.com/jobs/33969/program-manager%2c-product-operations/job?in_iframe=1
Senior Application Consultant,Not specified,RO-Remote,(11/19/2025 8:33 PM),Yes,Not specified,https://careers-kinaxis.icims.com/jobs/33952/senior-application-consultant/job?in_iframe=1
