title,department,openings,locations,all_locations,regions,remote_available
Automation Engineer Intern,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Cloud Engineering Support,Not specified,1,Ireland - Dublin,Ireland - Dublin,Not specified,No
Customer Success Manager,Not specified,1,Canada - Remote,Canada - Remote,Not specified,Yes
Digital Architect (German speaking),Not specified,1,Germany - Remote,Germany - Remote,Not specified,Yes
"Director - Product Management, UI Platform",Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
Global Help Desk Intern,Not specified,1,Malaysia - Kuala Lumpur,Malaysia - Kuala Lumpur,Not specified,No
Go To Market AI Engineer Intern,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Guidewire Integration Architect,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Integration AI Engineer Intern,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
"Manager, Platform Pricing and Packaging",Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
Marketing Intern,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Not specified,Not specified,1,Not specified,Not specified,Not specified,No
Principal Product Manager,Not specified,1,United States - Remote,United States - Remote,Not specified,Yes
Principal Solution Consultant,Not specified,1,Japan - Tokyo,Japan - Tokyo,Not specified,No
Principal Talent Attraction Partner,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Procurement Services Intern,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Senior Architect,Not specified,1,Australia - Remote,Australia - Remote,Not specified,Yes
Senior Machine Learning Platform Engineer,Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
"Senior Manager, Software Engineering - Cloud Platform",Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Senior People Business Partner,Not specified,1,United States - Remote,United States - Remote,Not specified,Yes
Senior Product Manager/Product Manager,Not specified,1,United States - Remote,United States - Remote,Not specified,Yes
Senior Site Reliability Engineer,Not specified,1,Ireland - Dublin,Ireland - Dublin,Not specified,No
"Senior Software Engineer (Java, Backend)",Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Senior Software Engineer - AI Services,Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
Senior Software Engineering Manager,Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Senior Solution Architect,Not specified,1,United States - Remote,United States - Remote,Not specified,Yes
Site Reliability Engineer II (SRE) - Guidewire Cloud Platform (Application),Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
Site Reliability Engineer III,Not specified,1,"Dublin Office, Ireland","Dublin Office, Ireland",Not specified,No
"Site Reliability Engineer III, Guidewire Cloud Platform",Not specified,1,Brazil - Curitiba,Brazil - Curitiba,Not specified,No
Software Development Engineers in Test lll (SDET),Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
"Software Engineer II (Java, microservices, AWS)",Not specified,1,India - Bangalore,India - Bangalore,Not specified,No
"Software Engineer III (Backend, AI)",Not specified,1,Brazil - Curitiba,Brazil - Curitiba,Not specified,No
Software Engineer III - AI Services,Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
Software Engineer III : Cloud Platform,Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
Solution Consultant,Not specified,1,Australia - Remote,Australia - Remote,Not specified,Yes
Staff Infrastructure & Automation Engineer,Not specified,1,United States - Remote,United States - Remote,Not specified,Yes
Staff Software Engineer,Not specified,1,Poland - Krakow,Poland - Krakow,Not specified,No
Staff Software Engineer - Application Platform,Not specified,1,"United States - San Mateo, CA","United States - San Mateo, CA",Not specified,No
"Tech Leader, Site Reliability Engineering",Not specified,1,Brazil - Curitiba,Brazil - Curitiba,Not specified,No
Technical Account Manager,Not specified,1,Japan - Tokyo,Japan - Tokyo,Not specified,No
