title,department,location,posting_date,remote,region,url
"Director, Support Consulting, CSO, Supply Chain Solutions",Not specified,"Atlanta, GA",Posted 14 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Director--Support-Consulting--CSO--Supply-Chain-Solutions_16779
Senior Consultant,Not specified,"Atlanta, GA",Posted 15 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Senior-Consultant---TMS_16655
"Senior Support Consultant, Supply Chain Technology (Chile)",Not specified,Santiago,Posted 15 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Santiago/Support-Consultant--Chile-_16596-1
"Manager, Change Management",Not specified,"Atlanta, GA",Posted 16 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Manager--Change-Management_16777
Engagement Director,Not specified,Sydney,Posted 18 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Sydney/Engagement-Director_16767-1
"Principal Support Analyst, CSO, WM-i",Not specified,"Atlanta, GA",Posted 22 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Principal-Support-Analyst--CSO--WM-i_16766
Engagement Director,Not specified,Paris,Posted 25 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Engagement-Director_16677
Associate Consultant,Not specified,Paris,Posted 25 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Associate-Consultant_16759
Sales Account Executive,Not specified,Paris,Posted 26 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Account-Manager_16552
Principal Support Consultant,Not specified,Paris,Posted 29 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Principal-Support-Consultant_16523
"Technology Consultant, Supply Chain (Chile)",Not specified,Santiago,Posted 30 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Santiago/Technology-Consultant--Supply-Chain--Chile-_16739
"Senior Services Project Manager, Supply Chain Technology (Chile)",Not specified,Santiago,Posted 30 Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Santiago/Senior-Services-Project-Manager--Supply-Chain-Technology--Chile-_16740
Consulting Resource Specialist,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Consulting-Resource-Specialist_16754
Principal Support Consultant,Not specified,Paris,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Principal-Support-Consultant_16567
Principal Consultant-Manhattan Active Warehouse Management,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Senior-Support-Consultant_16601
Senior Engineer - IT Infrastructure & Storage,Not specified,Bangalore,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Bangalore/Principal-Engineer_16422
Engagement Director - Supply Chain Planning,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Engagement-Director---Supply-Chain-Planning_16735
Associate Consultant - Internship,Not specified,Barcelona,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Barcelona/Associate-Consultant---Internship_16206
Support Associate Consultant (Internship),Not specified,Paris,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Support-Associate-Consultant--Internship-_16211
Support Associate Consultant (Internship),Not specified,Paris,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Paris/Support-Associate-Consultant--Internship-_16210
Senior Technology Consultant | Supply Chain Software,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Senior-Technology-Consultant---Supply-Chain-Software_16660-1
Sales Executive - New Business,Not specified,Tokyo,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Tokyo/Sales-Executive---New-Business_16728-1
Senior Engineer - MuleSoft Developer,Not specified,Bangalore,Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Bangalore/Senior-Engineer---MuleSoft-Developer_16674-1
Project Manager - Manhattan Active WM,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Project-Manager---Active-WM_16650
Senior Principal Consultant - Supply Chain Planning,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Senior-Principal-Consultant---Supply-Chain-Planning_16616
Senior Consultant – Shipping Planning & Optimization,Not specified,"Atlanta, GA",Posted 30+ Days Ago,No,Not specified,https://manh.wd5.myworkdayjobs.com/en-US/External/jobs/job/Atlanta-GA/Senior-Consultant---Shipping-Planning---Optimization_16448
